longitude;latitude;Road name;Culvert material;Overall condition;Height (in.);Width (in.);Length (ft.);Culvert type
-72.589234014;44.984661506;STEVENS MILLS SLIDE RD;Steel Corrugated;Poor;16;16;40;Round
-72.367026045;44.638026501;CALDERWOOD HILL RD;"Pipe, Plastic";Good;18;18;40;Round
-72.250124489;44.772093689;BUTLER RD;Plastic Smooth;Excellent;15;15;35;Round
-73.125155312;44.818526061;KELLOGG RD;Steel Corrugated;Fair;36;36;60;Round
-72.233002193;44.416189348;W SHORE RD;Steel Corrugated;Good;18;18;40;Round
-72.952214519;42.891926639;SOMERSET RD;Steel Corrugated;Fair;18;24;145;Ellipse/Squashed
-72.202808446;44.932254626;GLEN RD;Steel Corrugated;Fair;24;24;102;Round
-72.813679924;43.20357739;MIDDLETOWN RD;Plastic Smooth;Excellent;18;18;30;Round
-72.840751031;43.670881923;OLD COACH RD;Plastic Smooth;Good;18;18;40;Round
-73.080449058;44.5300558;TOWERS RD;Steel Corrugated;Good;12;12;40;Round
-72.206430334;43.95916083;WILD HILL RD;Steel Corrugated;Good;18;18;30;Round
-72.967910325;42.919305482;SOMERSET RD;Steel Corrugated;Poor;18;18;30;Round
-72.654105148;44.636291273;SINCLAIR RD;Steel Corrugated;Fair;12;12;26;Round
-72.356478717;44.04068735;COOKEVILLE RD;Steel Corrugated;Fair;24;24;38;Round
-72.71570685;44.067083767;BEAVER MEADOW RD;Plastic Corrugated;Fair;18;18;30;Round
-72.465165;43.483949;COON CLUB RD;Plastic Smooth;Good;18;18;40;Round
-72.61595645;44.575634663;DUHAMEL RD;Steel Corrugated;Fair;18;18;40;Round
-72.70409962;43.399628112;PROSPECT ST;Steel Corrugated;Good;24;24;20;Round
-72.532616827;44.283721829;BARNES RD;Steel Corrugated;Poor;15;15;40;Round
-72.064632245;44.379873775;DEMAIO LN;Steel Corrugated;Excellent;24;24;30;Round
-72.844335634;43.989401239;POST OFFICE HL;Plastic Corrugated;Good;15;15;40;Round
-72.880395415;43.139335955;STRATTON GARDENS RD;Plastic Smooth;Excellent;18;18;60;Round
-72.028461924;44.98793644;STEARNS BROOK RD;Plastic Smooth;Poor;18;18;21;Round
-73.167074013;43.228692794;EBENVILLE RD;Other;Excellent;18;18;40;Other
-72.345324252;44.708920668;LOST NATION RD;Steel Corrugated;Excellent;15;15;44;Round
-72.42693986;44.501800376;KATE BROOK RD;Steel Corrugated;Fair;30;30;28;Round
-73.267399735;42.813120187;TUBBS RD;Plastic Corrugated;Fair;18;18;30;Round
-71.876603176;44.440477084;FOURNIER RD;Steel Corrugated;Good;48;48;20;Round
-73.243308706;42.801442584;N POWNAL RD;Steel Corrugated;Fair;18;18;35;Round
-72.544617509;43.617962983;PROSPER RD;Plastic Corrugated;Good;15;15;45;Round
-72.630957311;43.820366145;MILLS DR;Steel Corrugated;Fair;15;15;30;Round
-72.36332796;43.686382339;JERICHO RD;"Pipe, Plastic";Good;15;15;40;Round
-72.569828943;43.575758586;ARTHUR MORGAN RD;Plastic Corrugated;Good;36;36;48;Round
-71.956704054;44.546755783;BURRINGTON BRIDGE RD;Steel Corrugated;Good;15;15;38;Round
-72.404361986;43.592579375;GROUT RD;Steel Corrugated;Good;15;15;40;Round
-72.892208511;43.135496911;STRATTON MOUNTAIN ACCESS RD;Steel Corrugated;Good;24;24;100;Round
-72.85288015;43.028208299;STRATTON ARLINGTON RD;Plastic Smooth;Good;18;18;40;Round
-72.581223402;43.412147165;EAST RD;Unknown;Unknown;999;999;999;Unknown
-72.63606;44.357161;E BEAR SWAMP RD;Steel Corrugated;Fair;18;18;30;Round
-72.138547278;44.940212733;HINMAN SETTLER RD;Steel Corrugated;Good;12;12;28;Round
-73.139854321;43.781171919;Unknown;Steel Corrugated;Good;18;18;30;Round
-73.272845;44.301603;Add Road Name in App;Plastic Corrugated;Good;15;15;40;Round
-72.460417;43.4717;BROOK RD;Gray Plastic;Good;18;18;30;Round
-72.630570078;42.842420415;GOODENOUGH RD;Steel Corrugated;Poor;18;18;0;Round
-72.76671961;44.973143393;WATER TOWER RD;Steel Corrugated;Good;18;18;57;Round
-72.836738078;42.910038226;DAVIS DR;Plastic Smooth;Good;12;12;50;Round
-73.211704106;44.254220482;FOUR WINDS RD;Steel Corrugated;Good;18;18;60;Round
-72.361980052;44.71413059;PAGE POND RD;Steel Corrugated;Fair;12;12;32;Round
-72.489746462;44.220201398;PLAINFIELD BROOK RD;Steel Corrugated;Fair;24;24;60;Round
-72.830301568;44.054978171;PLUCKTON RD;Plastic Corrugated;Good;24;24;30;Round
-72.513616;43.478868;BANISTER RD;Steel Corrugated;Good;15;15;30;Round
-72.381678167;44.653638252;N CRAFTSBURY RD;Steel Corrugated;Good;12;12;30;Drop Inlet
-72.499987477;44.261608959;TOWNE HILL RD;Steel Corrugated;Poor;18;18;80;Round
-72.464962873;44.627374158;EASY ST;Plastic Corrugated;Good;18;18;40;Round
-72.839432801;43.857165181;MAPLE HL;Plastic Corrugated;Excellent;24;24;40;Round
-72.813842674;43.012343861;POTTER RD;Plastic Smooth;Excellent;18;18;25;Round
-72.654102525;43.603810267;BRIDGEWATER CENTER RD;Plastic Smooth;Good;18;18;40;Round
-72.438173582;44.948945867;CROSS RD;Steel Corrugated;Good;12;12;20;Round
-72.5509285;44.603553434;RICHARDSON RD;Steel Corrugated;Poor;24;24;24;Round
-73.03043585;43.541384454;TEER RD;Plastic Corrugated;Good;18;18;25;Round
-73.147022122;43.062080304;WARM BROOK RD;"Aluminum, wrought iron, or cast iron";Poor;12;12;30;Round
-72.533700554;44.261414992;GREEN RD;Plastic Corrugated;Good;18;18;40;Round
-72.551787299;43.807905303;BACK RIVER RD;Steel Corrugated;Good;15;15;30;Round
-72.605332595;43.330849917;CLEMONS RD;Plastic Corrugated;Good;15;15;30;Round
-72.466151;43.901057;STRAFFORD RD;Plastic Smooth;Good;15;15;40;Round
-72.865717163;44.5172752;MOUNTAIN RD;"Pipe, Plastic";Good;18;18;40;Round
-72.432496128;43.661162264;QUECHEE WEST HARTFORD RD;"Pipe, Plastic";Good;12;12;40;Round
-72.026955937;44.54285653;CALISTA AVE;Plastic Smooth;Fair;18;18;20;Round
-73.226897342;43.262894299;VT ROUTE 153;Plastic Smooth;Good;24;24;60;Round
-72.871875403;44.684342057;RUSHFORD RD;Steel Corrugated;Fair;24;24;30;Round
-73.191392548;43.789543542;HUFF POND RD;Steel Corrugated;Good;16;16;40;Round
-72.583846455;43.088200812;WHITNEY HILL RD;Stone;Good;15;15;80;Round
-72.65431;43.937298;Edit in the 'Road name (other)' field;Plastic Corrugated;Good;18;18;35;Round
-72.443300287;44.415623262;CHARTIER HILL RD;Steel Corrugated;Good;18;18;55;Round
-72.228288248;44.066603067;CHICKEN FARM RD;Steel Corrugated;Fair;18;18;40;Round
-73.1671768;42.789410801;COUNTY RD;Steel Corrugated;Fair;18;18;20;Round
-73.171264989;44.856712289;PERRY RD;Steel Corrugated;Poor;15;15;30;Round
-72.959325814;43.583346129;QUALITY LN;Steel Corrugated;Fair;18;18;80;Round
-72.471327367;43.413852636;GRAVELIN RD;Steel Corrugated;Fair;15;15;12;Round
